time,n,avg,stddev ,bps
920293356,8197,189.70,331.50,41464.96
920293656,7160,121.81,151.02,23257.73
920293956,9566,167.63,300.72,42760.61
920294256,7458,147.12,317.67,29259.89
920294556,3987,160.62,351.03,17077.28
920294856,4344,170.87,356.34,19793.17
920295156,3632,216.33,426.32,20951.81
920295456,3613,367.96,564.85,35451.25
920295756,3109,245.78,458.25,20376.72
920296056,4611,274.89,490.22,33800.51
920296356,6482,248.06,453.23,42877.68
920296656,10087,233.21,449.73,62731.23
920296956,6163,283.69,491.12,46623.47
920297256,4498,303.09,515.78,36354.77
920297556,12846,323.20,532.14,110716.96
920297856,10708,289.51,502.30,82668.43
920298156,9051,266.75,479.04,64383.20
920298456,10637,192.63,397.04,54638.93
920298756,11638,346.13,552.81,107420.13
920299056,17981,288.37,506.07,138269.87
920299356,9987,293.75,503.80,78231.01
920299656,10038,273.35,480.05,73171.47
920299956,10592,239.89,451.25,67758.40
920300256,15246,274.12,485.50,111444.40
920300556,17114,207.34,416.66,94622.29
920300856,21792,208.35,418.60,121076.56
920301156,14628,299.93,517.97,116996.24
920301456,17489,220.43,441.54,102802.99
920301756,14248,244.15,461.72,92765.01
920302056,8930,80.12,171.34,19079.33
920302356,10873,70.46,149.07,20428.21
920302656,20058,212.62,418.71,113726.59
920302956,15904,220.35,431.98,93452.69
920303256,12825,171.84,373.63,58770.99
920303556,14352,164.91,360.16,63112.77
920303856,13242,181.95,381.66,64251.84
920304156,16351,219.91,433.16,95885.23
920304456,16946,253.60,483.65,114601.63
920304756,14345,153.00,348.26,58528.61
920305056,11703,158.63,357.26,49506.29
920305356,14438,186.05,404.53,71631.73
920305656,13762,185.24,390.68,67981.60
920305956,16590,325.96,552.20,144204.51
920306256,14227,131.60,309.30,49927.09
920306556,12307,159.49,359.63,52344.08
920306856,11494,118.62,286.88,36356.80
920307156,11798,153.88,350.93,48411.68
920307456,12938,140.97,318.54,48638.11
920307756,12754,161.45,370.88,54909.28
920308056,13215,241.31,485.56,85036.19
920308356,12303,155.14,346.39,50898.67
920308656,11821,143.06,333.80,45095.41
920308956,12969,148.05,337.37,51202.24
920309256,14080,149.05,343.44,55963.15
920309556,13564,138.25,327.15,50005.25
920309856,12763,190.61,402.70,64872.56
920310156,14344,203.38,424.39,77793.47
920310456,13964,329.39,551.58,122655.07
920310756,14031,203.05,415.70,75973.68
920311056,13707,249.97,484.98,91370.40
920311356,12768,191.73,397.66,65281.41
920311656,12250,182.40,392.00,59583.52
920311956,10935,169.95,361.56,49558.75
920312256,11283,138.61,315.36,41704.72
920312556,11266,175.49,374.58,52721.89
920312856,11509,267.86,492.80,82209.52
920313156,10282,188.58,398.70,51706.05
920313456,13066,327.94,539.29,114261.39
920313756,8448,146.43,329.35,32986.83
920314056,8903,163.56,366.12,38831.09
920314356,10561,268.40,493.86,75588.91
920314656,9480,317.55,545.34,80275.95
920314956,8409,210.48,424.27,47198.67
920315256,8417,124.38,294.34,27916.99
920315556,8352,90.81,229.70,20224.99
920315856,7817,100.12,251.84,20869.76
920316156,9331,83.45,199.79,20764.53
920316456,14120,231.10,474.31,87018.11
920316756,11556,175.26,386.18,54008.59
920317056,12049,226.71,443.74,72843.68
920317356,10766,185.89,393.01,53366.77
920317656,12738,180.46,385.71,61297.33
920317956,9656,106.28,263.21,27367.23
920318256,9768,169.24,380.90,44082.40
920318556,15542,302.68,531.59,125444.91
920318856,13698,223.50,447.53,81638.75
920319156,11579,140.02,326.45,43235.81
920319456,6874,90.09,213.57,16514.83
920319756,8894,141.35,331.30,33524.03
920320056,6640,71.07,151.11,12584.37
920320356,6481,108.60,265.88,18768.75
920320656,6889,98.49,233.77,18092.77
920320956,12725,123.06,289.19,41756.67
920321256,11623,136.70,321.71,42368.69
920321556,13527,117.37,287.00,42337.60
920321856,10268,140.18,330.64,38383.92
920322156,7148,149.91,355.05,28575.15
920322456,11419,175.99,382.40,53590.59
920322756,12933,187.22,388.62,64567.57
920323056,13251,195.07,403.70,68928.64
920323356,13458,177.51,387.13,63704.05
920323656,18784,226.09,446.35,113252.19
920323956,12191,217.67,441.60,70762.64
920324256,11871,170.79,368.28,54064.53
920324556,15917,234.56,459.86,99560.29
920324856,9743,235.59,457.19,61209.28
920325156,11799,215.45,430.12,67788.51
920325456,10890,153.71,344.66,44636.77
920325756,12005,251.56,480.09,80531.60
920326056,5447,197.04,414.78,28620.00
920326356,11348,314.46,539.49,95158.88
920326656,8682,299.48,521.65,69335.33
920326956,11960,248.64,469.37,79298.19
920327256,9263,213.92,426.73,52839.92
920327556,5780,182.61,389.14,28145.95
920327856,9259,463.18,636.74,114362.29
920328156,5317,173.75,361.82,24636.00
920328456,8000,138.74,325.11,29598.48
920328756,5505,147.60,353.99,21667.73
920329056,4912,267.11,510.88,34988.37
920329356,2453,61.97,109.67,4053.36
920329656,4723,323.67,542.73,40764.56
920329956,3717,51.70,35.16,5124.29
920330256,3298,137.65,323.14,12106.21
920330556,3427,165.45,372.37,15120.08
920330856,4729,85.37,205.07,10766.29
920331156,4565,101.55,246.97,12361.73
920331456,4491,220.82,430.65,26444.99
920331756,2349,139.08,307.52,8712.16
920332056,2882,89.94,199.37,6911.81
920332356,2766,166.37,350.97,12271.41
920332656,2277,137.63,306.17,8356.64
920332956,976,126.39,307.18,3289.39
920333256,1579,236.90,464.15,9975.01
920333556,1911,167.40,354.21,8530.80
920333856,2680,244.67,437.40,17485.63
920334156,3004,233.73,429.93,18723.33
920334456,2502,189.38,376.82,12635.36
920334756,2507,215.56,416.69,14410.72
920335056,2432,97.31,205.93,6310.85
920335356,2363,248.62,452.72,15666.24
920335656,1109,110.52,142.16,3268.56
920335956,1293,108.46,196.67,3739.65
920336256,929,83.62,51.66,2071.49
920336556,1014,179.41,336.10,4851.20
920336856,1662,234.69,432.00,10401.31
920337156,2583,306.00,506.22,21077.47
920337456,1379,145.53,303.70,5351.76
920337756,1864,282.00,481.12,14017.20
920338056,2877,232.29,419.55,17821.41
920338356,2957,312.30,507.03,24625.52
920338656,1649,176.06,344.00,7741.84
920338956,2008,256.42,453.46,13730.48
920339256,1786,179.18,346.26,8533.65
920339556,2213,310.13,508.09,18301.95
920339856,1899,154.26,297.18,7811.92
920340156,1481,178.48,344.65,7048.88
920340456,1859,334.08,531.79,16561.55
920340756,1901,338.51,537.36,17160.29
920341056,1483,310.62,520.15,12284.16
920341356,929,89.14,88.01,2208.21
920341656,1091,77.78,49.32,2262.80
920341956,695,100.27,74.07,1858.35
920342256,987,117.07,224.74,3081.23
920342556,1793,72.36,101.54,3459.97
920342856,1130,96.25,59.92,2900.19
920343156,1063,78.28,49.55,2218.85
920343456,933,107.60,182.60,2677.01
920343756,1210,74.84,48.93,2414.99
920344056,978,83.06,57.42,2166.16
920344356,1067,80.34,63.15,2285.81
920344656,703,97.65,68.17,1830.53
920344956,603,104.70,56.11,1683.57
920345256,561,111.26,67.48,1664.43
920345556,616,123.49,147.28,2028.51
920345856,540,110.76,54.94,1594.96
920346156,1020,79.57,50.45,2164.37
920346456,1490,82.18,50.33,3265.39
920346756,1657,66.83,42.58,2953.04
920347056,858,86.90,52.55,1988.29
920347356,1162,76.75,51.01,2378.19
920347656,1764,65.88,41.59,3099.09
920347956,693,100.19,65.14,1851.57
920348256,603,155.91,261.51,2507.09
920348556,692,96.52,53.84,1781.12
920348856,963,110.65,198.52,2841.41
920349156,479,122.67,60.10,1566.88
920349456,436,125.13,47.64,1454.80
920349756,439,125.12,48.04,1464.69
920350056,742,119.20,48.73,2358.56
920350356,444,124.00,48.09,1468.13
920350656,441,124.95,48.56,1469.47
920350956,493,121.02,50.87,1590.96
920351256,441,124.38,47.92,1462.75
920351556,441,125.28,48.16,1473.31
920351856,439,124.07,47.94,1452.43
920352156,441,125.12,47.67,1471.41
920352456,442,123.97,49.11,1461.17
920352756,471,123.53,60.11,1551.49
920353056,438,125.07,47.39,1460.83
920353356,440,124.83,48.29,1464.64
920353656,737,119.50,48.76,2348.53
920353956,439,125.21,47.13,1465.84
920354256,434,125.74,48.56,1455.17
920354556,441,124.05,47.83,1458.85
920354856,438,124.40,48.35,1452.99
920355156,440,124.78,49.02,1464.03
920355456,468,126.50,83.60,1578.75
920355756,435,125.70,47.76,1458.13
920356056,429,126.31,47.88,1444.96
920356356,459,126.71,70.03,1550.88
920356656,426,126.14,47.78,1432.93
920356956,439,124.36,49.12,1455.89
920357256,720,120.82,48.47,2319.73
920357556,425,126.52,47.49,1433.89
920357856,428,126.61,48.27,1445.09
920358156,424,126.22,47.36,1427.09
920358456,423,126.63,47.58,1428.35
920358756,435,125.70,48.56,1458.11
920359056,427,125.93,47.19,1433.87
920359356,438,124.88,48.46,1458.56
920359656,431,125.73,48.36,1445.01
920359956,465,126.00,70.00,1562.43
920360256,424,127.02,46.83,1436.13
920360556,433,125.94,47.82,1454.24
920360856,738,119.35,48.85,2348.85
920361156,423,127.08,47.01,1433.41
920361456,434,125.06,49.51,1447.33
920361756,423,126.64,46.88,1428.53
920362056,422,127.03,47.17,1429.52
920362356,431,126.02,48.73,1448.40
920362656,438,123.48,48.79,1442.24
920362956,435,125.25,48.39,1452.85
920363256,425,126.44,48.32,1432.96
920363556,469,124.14,59.98,1552.53
920363856,429,125.55,48.15,1436.35
920364156,431,126.17,47.82,1450.08
920364456,737,119.36,48.91,2345.81
920364756,430,125.84,47.69,1442.96
920365056,430,126.38,48.28,1449.15
920365356,430,125.56,47.31,1439.73
920365656,432,125.22,48.15,1442.53
920365956,439,124.93,49.00,1462.53
920366256,425,126.24,47.02,1430.77
920366556,426,126.48,46.54,1436.85
920366856,441,123.91,49.61,1457.20
920367156,457,125.13,60.19,1524.96
920367456,424,126.52,47.57,1430.48
920367756,426,126.11,48.71,1432.59
920368056,723,120.51,48.64,2323.36
920368356,444,124.72,47.62,1476.67
920368656,422,127.15,48.51,1430.85
920368956,424,126.34,47.37,1428.51
920369256,428,125.89,47.80,1436.88
920369556,420,127.85,47.92,1431.97
920369856,416,127.25,47.10,1411.57
920370156,427,126.73,47.60,1443.04
920370456,424,126.36,48.60,1428.75
920370756,459,126.66,70.14,1550.32
920371056,417,127.35,47.53,1416.19
920371356,426,126.77,47.78,1440.05
920371656,730,119.72,49.05,2330.56
920371956,416,127.89,47.02,1418.75
920372256,429,126.09,48.83,1442.43
920372556,16,143.25,56.31,61.12
920293356,8197,189.70,331.50,41464.96
